44	1645
40	1683
36	1950
48	1429
42	1666
65	1244
42	1910
41	1798
41	1817
35	1911
36	3535
37	1373
43	1964
43	2127
37	2068
40	1673
36	3100
34	2664
37	2056
44	1512
43	1513
40	1756
42	1623
37	2640
54	1492
52	1356
53	1633
45	1954
37	2225
38	2371
46	2011
57	1523
47	1671
41	2330
10	623
41	2239
41	2362
39	2696
81	1126
87	1031
44	1783
41	2051
41	1939
45	2159
39	2504
49	1942
52	1720
61	1187
51	1842
47	2168
39	2306
52	1544
46	2158
51	1735
48	2154
61	1658
39	2264
57	1133
54	2119
44	2792
41	2939
45	3058
46	2933
47	2805
52	1618
48	2272
68	1867
43	2881
70	800
50	2642
47	1424
47	1898
40	2248
35	2489
42	1948
85	930
82	965
78	1405
83	970
61	1543
100	1240
94	1526
88	1432
91	1071
78	952
82	919
85	884
87	1052
75	1350
68	1670
142	1153
94	1287
82	1064
60	1440
62	1525
82	1547
80	1357
68	1765
89	1841
98	1532
81	1318
82	1483
86	1458
69	1535
79	1636
103	2210
83	1305
69	1351
87	1310
90	1662
92	1286
72	1306
99	1478
87	2057
103	1845
71	1296
99	1287
107	1303
97	1288
81	1131
85	985
85	988
89	1085
105	977
137	878
105	1004
89	1132
91	1090
133	796
66	1118
62	1075
73	1001
78	1369
73	1067
58	1205
61	1073
66	1115
62	1220
80	947
57	1234
76	1254
80	1216
84	1059
81	1064
59	1386
63	1408
81	1293
81	1000
69	1182
80	1146
62	1514
71	1545
62	2051
59	1784
67	1114
73	1841
71	1352
79	969
80	1112
66	1357
86	977
78	1231
72	1331
18	1488
68	1402
72	1661
83	1188
84	1221
76	1397
73	1495
65	1647
66	1681
70	1741
75	1194
14	1442
95	1399
69	1453
